OrderID,Date,ProductID,StoreID,CustomerID,Quantity,Discount,Revenue,Cost,Profit
ORD100025,2024-06-15,P1000,S007,C0016,3,0.1,345.2,177.93,167.27
ORD100026,2024-03-16,P1025,S011,C0151,3,0.0,872.49,436.77,435.72
ORD100027,2024-02-06,P1009,S003,C0376,4,0.0,422.6,270.52,152.08
ORD100028,2023-02-16,P1023,S003,C0332,2,0.0,177.5,100.4,77.1
ORD100029,2023-08-21,P1014,S012,C0186,2,0.15,207.35,181.8,25.55
ORD100030,2023-11-01,P1000,S001,C0280,3,0.1,345.2,177.93,167.27
ORD100031,2024-06-09,P1022,S011,C0289,3,0.1,217.73,127.56,90.17
ORD100032,2023-05-23,P1026,S015,C0164,1,0.15,252.73,141.23,111.5
ORD100033,2024-02-19,P1009,S015,C0008,4,0.2,338.08,270.52,67.56
ORD100034,2024-05-27,P1027,S008,C0220,4,0.0,781.12,366.8,414.32
ORD100035,2024-01-08,P1026,S004,C0052,1,0.0,297.33,141.23,156.1
ORD100036,2024-07-19,P1000,S013,C0302,3,0.0,383.55,177.93,205.62
ORD100037,2023-09-16,P1016,S011,C0032,3,0.0,93.27,43.29,49.98
ORD100038,2024-10-17,P1026,S014,C0171,3,0.05,847.39,423.69,423.7
ORD100039,2024-04-15,P1001,S010,C0195,2,0.0,408.72,222.28,186.44
ORD100040,2023-01-12,P1011,S015,C0295,4,0.0,308.76,189.44,119.32
ORD100041,2023-11-26,P1022,S010,C0302,11,0.15,753.98,467.72,286.26
ORD100042,2023-12-24,P1006,S009,C0227,3,0.2,449.86,377.1,72.76
ORD100043,2024-02-12,P1026,S002,C0297,2,0.2,475.73,282.46,193.27
ORD100044,2024-10-29,P1027,S014,C0185,1,0.15,165.99,91.7,74.29
ORD100045,2024-01-08,P1005,S003,C0120,7,0.15,103.23,55.86,47.37
ORD100046,2023-01-08,P1019,S014,C0212,7,0.1,1113.59,729.47,384.12
ORD100047,2023-05-02,P1010,S015,C0282,4,0.05,507.68,374.88,132.8
ORD100048,2023-12-14,P1027,S003,C0199,4,0.0,781.12,366.8,414.32
ORD100049,2024-11-06,P1029,S007,C0058,1,0.05,17.49,11.56,5.93
ORD100050,2023-03-31,P1009,S002,C0038,1,0.15,89.8,67.63,22.17
ORD100051,2024-10-09,P1020,S011,C0313,4,0.0,158.48,90.8,67.68
ORD100052,2024-11-28,P1017,S006,C0347,3,0.0,882.09,435.06,447.03
ORD100053,2023-11-12,P1006,S007,C0146,11,0.0,2061.84,1382.7,679.14
ORD100054,2023-06-27,P1018,S001,C0359,1,0.15,58.0,49.17,8.83
ORD100055,2024-06-23,P1016,S001,C0370,2,0.05,59.07,28.86,30.21
ORD100056,2023-02-10,P1022,S001,C0162,1,0.2,64.51,42.52,21.99
ORD100057,2024-12-04,P1009,S002,C0011,11,0.05,1104.04,743.93,360.11
ORD100058,2024-05-16,P1011,S003,C0239,1,0.0,77.19,47.36,29.83
ORD100059,2023-05-25,P1016,S003,C0031,1,0.0,31.09,14.43,16.66
ORD100060,2023-07-20,P1012,S011,C0189,2,0.0,285.46,142.26,143.2
ORD100061,2024-12-24,P1017,S002,C0338,4,0.0,1176.12,580.08,596.04
ORD100062,2024-04-05,P1019,S014,C0382,4,0.15,600.98,416.84,184.14
ORD100063,2024-07-11,P1014,S007,C0078,1,0.0,121.97,90.9,31.07
ORD100064,2024-06-30,P1024,S010,C0053,1,0.0,123.58,84.27,39.31
ORD100065,2023-09-10,P1019,S010,C0287,1,0.0,176.76,104.21,72.55
ORD100066,2024-01-25,P1010,S011,C0199,6,0.05,761.52,562.32,199.2
ORD100067,2024-08-16,P1016,S010,C0226,1,0.0,31.09,14.43,16.66
ORD100068,2023-09-13,P1029,S010,C0160,4,0.0,73.64,46.24,27.4
ORD100069,2024-12-09,P1024,S007,C0140,6,0.15,630.26,505.62,124.64
ORD100070,2024-03-25,P1018,S012,C0232,1,0.2,54.59,49.17,5.42
ORD100071,2023-01-10,P1022,S002,C0023,1,0.1,72.58,42.52,30.06
ORD100072,2023-08-30,P1026,S014,C0317,2,0.0,594.66,282.46,312.2
ORD100073,2023-09-08,P1029,S011,C0060,3,0.05,52.47,34.68,17.79
ORD100074,2023-01-05,P1018,S011,C0327,3,0.15,174.01,147.51,26.5
ORD100075,2023-04-29,P1007,S003,C0333,2,0.0,91.9,62.72,29.18
ORD100076,2024-01-09,P1017,S001,C0057,1,0.0,294.03,145.02,149.01
ORD100077,2023-03-06,P1009,S015,C0222,5,0.2,422.6,338.15,84.45
ORD100078,2023-05-26,P1008,S007,C0302,4,0.15,295.97,196.48,99.49
ORD100079,2023-08-12,P1016,S012,C0149,1,0.15,26.43,14.43,12.0
ORD100080,2023-08-27,P1002,S006,C0178,1,0.05,37.8,27.62,10.18
ORD100081,2023-06-26,P1021,S005,C0155,6,0.0,126.9,59.94,66.96
ORD100082,2023-10-09,P1002,S009,C0078,4,0.05,151.2,110.48,40.72
ORD100083,2023-03-04,P1027,S013,C0005,3,0.2,468.67,275.1,193.57
ORD100084,2023-08-05,P1012,S015,C0126,2,0.1,256.91,142.26,114.65
ORD100085,2024-11-19,P1014,S007,C0242,6,0.15,622.05,545.4,76.65
ORD100086,2024-04-05,P1020,S008,C0312,1,0.0,39.62,22.7,16.92
ORD100087,2024-09-01,P1004,S002,C0165,3,0.0,535.62,276.48,259.14
ORD100088,2023-04-15,P1024,S005,C0300,1,0.0,123.58,84.27,39.31
ORD100089,2023-04-09,P1028,S004,C0075,2,0.0,52.66,35.66,17.0
ORD100090,2024-05-25,P1015,S004,C0323,4,0.05,514.18,372.36,141.82
ORD100091,2024-01-20,P1026,S008,C0371,6,0.05,1694.78,847.38,847.4
ORD100092,2024-02-09,P1015,S006,C0026,4,0.1,487.12,372.36,114.76
ORD100093,2024-06-01,P1015,S004,C0031,2,0.2,216.5,186.18,30.32
ORD100094,2024-04-20,P1004,S005,C0019,2,0.15,303.52,184.32,119.2
ORD100095,2024-12-09,P1023,S012,C0001,6,0.0,532.5,301.2,231.3
ORD100096,2024-10-06,P1027,S007,C0232,6,0.2,937.34,550.2,387.14
ORD100097,2024-03-12,P1005,S012,C0368,2,0.2,27.76,15.96,11.8
ORD100098,2023-01-23,P1002,S012,C0014,1,0.0,39.79,27.62,12.17
ORD100099,2024-07-18,P1026,S014,C0084,2,0.0,594.66,282.46,312.2
ORD100100,2024-11-07,P1029,S006,C0032,9,0.2,132.55,104.04,28.51
ORD100101,2024-12-14,P1019,S003,C0333,5,0.0,883.8,521.05,362.75
ORD100102,2024-04-02,P1029,S011,C0261,3,0.05,52.47,34.68,17.79
ORD100103,2023-03-24,P1021,S013,C0357,2,0.0,42.3,19.98,22.32
ORD100104,2023-05-25,P1023,S007,C0088,1,0.1,79.88,50.2,29.68
ORD100105,2023-03-26,P1026,S008,C0282,1,0.2,237.86,141.23,96.63
ORD100106,2023-03-19,P1012,S006,C0320,3,0.0,428.19,213.39,214.8
ORD100107,2024-04-01,P1008,S008,C0260,1,0.1,78.34,49.12,29.22
ORD100108,2023-01-01,P1000,S008,C0393,6,0.0,767.1,355.86,411.24
ORD100109,2023-02-20,P1027,S012,C0081,1,0.05,185.52,91.7,93.82
ORD100110,2024-11-15,P1024,S013,C0307,6,0.15,630.26,505.62,124.64
ORD100111,2024-12-17,P1001,S004,C0082,6,0.15,1042.24,666.84,375.4
ORD100112,2024-03-21,P1003,S014,C0079,3,0.0,83.73,40.26,43.47
ORD100113,2024-03-24,P1012,S004,C0077,1,0.0,142.73,71.13,71.6
ORD100114,2024-05-02,P1022,S009,C0086,1,0.0,80.64,42.52,38.12
ORD100115,2023-02-03,P1022,S014,C0111,1,0.15,68.54,42.52,26.02
ORD100116,2023-12-14,P1023,S012,C0053,3,0.15,226.31,150.6,75.71
ORD100117,2023-04-05,P1026,S014,C0144,3,0.1,802.79,423.69,379.1
ORD100118,2023-03-13,P1028,S013,C0185,3,0.1,71.09,53.49,17.6
ORD100119,2024-07-04,P1004,S010,C0169,2,0.0,357.08,184.32,172.76
ORD100120,2023-06-03,P1026,S014,C0385,3,0.0,891.99,423.69,468.3
ORD100121,2023-09-07,P1005,S002,C0390,1,0.05,16.48,7.98,8.5
ORD100122,2024-11-04,P1022,S001,C0122,4,0.0,322.56,170.08,152.48
ORD100123,2024-03-13,P1005,S008,C0013,1,0.2,13.88,7.98,5.9
ORD100124,2023-04-28,P1011,S005,C0339,2,0.15,131.22,94.72,36.5
ORD100125,2023-11-02,P1028,S011,C0374,3,0.0,78.99,53.49,25.5
ORD100126,2023-09-25,P1009,S009,C0295,1,0.0,105.65,67.63,38.02
ORD100127,2023-02-23,P1004,S007,C0304,3,0.15,455.28,276.48,178.8
ORD100128,2023-08-24,P1028,S006,C0222,3,0.2,63.19,53.49,9.7
ORD100129,2024-01-24,P1011,S013,C0181,2,0.2,123.5,94.72,28.78
ORD100130,2024-02-05,P1000,S013,C0310,1,0.0,127.85,59.31,68.54
ORD100131,2024-09-15,P1006,S008,C0333,2,0.0,374.88,251.4,123.48
ORD100132,2023-10-30,P1006,S007,C0045,1,0.0,187.44,125.7,61.74
ORD100133,2023-07-26,P1019,S002,C0269,1,0.0,176.76,104.21,72.55
ORD100134,2023-08-17,P1022,S001,C0256,4,0.0,322.56,170.08,152.48
ORD100135,2024-07-31,P1004,S012,C0016,5,0.0,892.7,460.8,431.9
ORD100136,2023-03-16,P1004,S005,C0019,4,0.0,714.16,368.64,345.52
ORD100137,2024-03-10,P1010,S006,C0181,1,0.15,113.56,93.72,19.84
ORD100138,2023-04-13,P1008,S010,C0373,3,0.0,261.15,147.36,113.79
ORD100139,2024-02-26,P1021,S006,C0035,2,0.0,42.3,19.98,22.32
ORD100140,2024-12-04,P1000,S011,C0039,1,0.0,127.85,59.31,68.54
ORD100141,2023-11-02,P1029,S001,C0171,11,0.05,192.38,127.16,65.22
ORD100142,2023-04-08,P1001,S010,C0115,1,0.0,204.36,111.14,93.22
ORD100143,2023-12-01,P1011,S010,C0069,4,0.0,308.76,189.44,119.32
ORD100144,2024-03-10,P1029,S007,C0181,3,0.2,44.18,34.68,9.5
ORD100145,2024-03-22,P1026,S008,C0144,2,0.15,505.46,282.46,223.0
ORD100146,2023-11-04,P1016,S005,C0078,7,0.0,217.63,101.01,116.62
ORD100147,2023-09-06,P1000,S011,C0046,4,0.2,409.12,237.24,171.88
ORD100148,2023-06-15,P1024,S015,C0125,2,0.2,197.73,168.54,29.19
ORD100149,2024-04-25,P1008,S008,C0103,3,0.0,261.15,147.36,113.79
ORD100150,2023-12-01,P1017,S012,C0012,1,0.2,235.22,145.02,90.2
ORD100151,2024-06-25,P1006,S014,C0331,2,0.2,299.9,251.4,48.5
ORD100152,2023-04-16,P1029,S014,C0066,4,0.05,69.96,46.24,23.72
ORD100153,2024-07-16,P1025,S012,C0056,4,0.0,1163.32,582.36,580.96
ORD100154,2023-03-22,P1019,S015,C0102,3,0.1,477.25,312.63,164.62
ORD100155,2023-05-13,P1013,S001,C0225,7,0.1,377.06,237.65,139.41
ORD100156,2023-05-18,P1012,S015,C0032,7,0.0,999.11,497.91,501.2
ORD100157,2023-07-03,P1027,S010,C0152,2,0.0,390.56,183.4,207.16
ORD100158,2024-02-05,P1020,S001,C0320,1,0.15,33.68,22.7,10.98
ORD100159,2023-11-26,P1025,S011,C0268,3,0.15,741.62,436.77,304.85
ORD100160,2024-05-22,P1018,S007,C0144,1,0.1,61.42,49.17,12.25
ORD100161,2023-03-10,P1028,S002,C0223,2,0.1,47.39,35.66,11.73
ORD100162,2024-06-29,P1014,S003,C0373,2,0.0,243.94,181.8,62.14
ORD100163,2023-02-22,P1009,S010,C0034,2,0.0,211.3,135.26,76.04
ORD100164,2024-03-25,P1007,S009,C0090,6,0.0,275.7,188.16,87.54
ORD100165,2023-07-24,P1016,S005,C0109,2,0.05,59.07,28.86,30.21
ORD100166,2023-05-06,P1011,S006,C0357,6,0.15,393.67,284.16,109.51
ORD100167,2023-02-12,P1008,S012,C0331,2,0.0,174.1,98.24,75.86
ORD100168,2023-04-21,P1003,S005,C0364,1,0.0,27.91,13.42,14.49
ORD100169,2024-10-24,P1027,S009,C0049,3,0.1,527.26,275.1,252.16
ORD100170,2023-07-02,P1001,S005,C0374,2,0.2,326.98,222.28,104.7
ORD100171,2023-04-05,P1023,S009,C0227,5,0.05,421.56,251.0,170.56
ORD100172,2024-01-09,P1013,S012,C0359,2,0.05,113.72,67.9,45.82
ORD100173,2024-06-03,P1027,S014,C0042,3,0.1,527.26,275.1,252.16
ORD100174,2023-12-26,P1016,S015,C0255,6,0.15,158.56,86.58,71.98
ORD100175,2024-11-26,P1027,S004,C0289,1,0.0,195.28,91.7,103.58
ORD100176,2023-10-08,P1021,S015,C0202,4,0.2,67.68,39.96,27.72
ORD100177,2023-07-14,P1022,S008,C0119,4,0.0,322.56,170.08,152.48
ORD100178,2023-07-14,P1010,S010,C0131,2,0.2,213.76,187.44,26.32
ORD100179,2024-10-28,P1024,S005,C0188,5,0.0,617.9,421.35,196.55
ORD100180,2023-04-03,P1000,S007,C0040,4,0.2,409.12,237.24,171.88
ORD100181,2024-11-02,P1008,S007,C0102,11,0.15,813.92,540.32,273.6
ORD100182,2023-03-02,P1003,S006,C0092,4,0.05,106.06,53.68,52.38
ORD100183,2024-09-25,P1023,S008,C0392,4,0.0,355.0,200.8,154.2
ORD100184,2023-02-20,P1015,S012,C0185,4,0.0,541.24,372.36,168.88
ORD100185,2024-02-07,P1022,S003,C0034,1,0.0,80.64,42.52,38.12
ORD100186,2023-01-05,P1026,S003,C0282,1,0.0,297.33,141.23,156.1
ORD100187,2024-04-10,P1007,S008,C0167,4,0.1,165.42,125.44,39.98
ORD100188,2024-08-26,P1027,S010,C0242,5,0.0,976.4,458.5,517.9
ORD100189,2024-11-12,P1025,S005,C0215,3,0.2,697.99,436.77,261.22
ORD100190,2024-06-17,P1021,S004,C0278,2,0.0,42.3,19.98,22.32
ORD100191,2024-02-09,P1015,S010,C0188,3,0.1,365.34,279.27,86.07
ORD100192,2024-05-27,P1022,S002,C0109,3,0.0,241.92,127.56,114.36
ORD100193,2024-10-06,P1020,S007,C0340,4,0.05,150.56,90.8,59.76
ORD100194,2023-08-21,P1013,S009,C0157,3,0.0,179.55,101.85,77.7
ORD100195,2024-06-07,P1019,S010,C0158,2,0.05,335.84,208.42,127.42
ORD100196,2023-12-12,P1006,S011,C0343,6,0.1,1012.18,754.2,257.98
ORD100197,2023-02-15,P1014,S015,C0229,1,0.1,109.77,90.9,18.87
ORD100198,2024-06-29,P1027,S007,C0080,3,0.0,585.84,275.1,310.74
ORD100199,2023-03-19,P1000,S003,C0329,1,0.2,102.28,59.31,42.97
ORD100200,2024-12-30,P1002,S002,C0188,4,0.0,159.16,110.48,48.68
ORD100201,2023-03-14,P1028,S007,C0196,4,0.2,84.26,71.32,12.94
ORD100202,2023-09-06,P1008,S015,C0346,1,0.1,78.34,49.12,29.22
ORD100203,2023-02-16,P1027,S011,C0176,2,0.2,312.45,183.4,129.05
ORD100204,2023-05-01,P1013,S006,C0080,1,0.0,59.85,33.95,25.9
ORD100205,2023-08-02,P1009,S009,C0325,1,0.05,100.37,67.63,32.74
ORD100206,2023-08-27,P1023,S006,C0378,3,0.05,252.94,150.6,102.34
ORD100207,2023-02-25,P1020,S015,C0317,4,0.0,158.48,90.8,67.68
ORD100208,2023-12-16,P1019,S010,C0223,3,0.0,530.28,312.63,217.65
ORD100209,2023-04-17,P1027,S007,C0382,3,0.0,585.84,275.1,310.74
ORD100210,2023-02-17,P1011,S014,C0279,1,0.0,77.19,47.36,29.83
ORD100211,2024-07-26,P1018,S005,C0284,3,0.0,204.72,147.51,57.21
ORD100212,2023-12-03,P1010,S001,C0135,1,0.2,106.88,93.72,13.16
ORD100213,2023-01-26,P1006,S007,C0184,5,0.0,937.2,628.5,308.7
ORD100214,2023-09-14,P1012,S012,C0033,2,0.2,228.37,142.26,86.11
ORD100215,2023-01-08,P1027,S015,C0327,8,0.0,1562.24,733.6,828.64
ORD100216,2024-09-16,P1008,S004,C0386,3,0.2,208.92,147.36,61.56
ORD100217,2023-09-10,P1005,S005,C0182,2,0.1,31.23,15.96,15.27
ORD100218,2024-11-22,P1009,S015,C0182,4,0.0,422.6,270.52,152.08
ORD100219,2024-12-19,P1009,S002,C0037,9,0.0,950.85,608.67,342.18
ORD100220,2023-10-30,P1029,S009,C0299,2,0.0,36.82,23.12,13.7
ORD100221,2024-09-30,P1027,S006,C0112,2,0.05,371.03,183.4,187.63
ORD100222,2023-02-25,P1011,S014,C0132,1,0.0,77.19,47.36,29.83
ORD100223,2024-12-26,P1015,S008,C0315,4,0.0,541.24,372.36,168.88
ORD100224,2024-06-09,P1006,S002,C0141,3,0.05,534.2,377.1,157.1
ORD100225,2024-04-18,P1001,S014,C0381,2,0.0,408.72,222.28,186.44
ORD100226,2023-01-28,P1006,S004,C0330,3,0.2,449.86,377.1,72.76
ORD100227,2023-03-19,P1001,S012,C0386,2,0.1,367.85,222.28,145.57
ORD100228,2023-08-04,P1010,S012,C0067,2,0.15,227.12,187.44,39.68
ORD100229,2024-01-21,P1021,S015,C0199,9,0.0,190.35,89.91,100.44
ORD100230,2023-12-31,P1021,S002,C0330,5,0.2,84.6,49.95,34.65
ORD100231,2024-10-27,P1017,S012,C0022,1,0.15,249.93,145.02,104.91
ORD100232,2024-06-09,P1029,S014,C0233,4,0.0,73.64,46.24,27.4
ORD100233,2024-11-29,P1007,S001,C0273,6,0.15,234.35,188.16,46.19
ORD100234,2023-11-08,P1028,S009,C0385,3,0.15,67.14,53.49,13.65
ORD100235,2023-01-07,P1029,S006,C0201,2,0.1,33.14,23.12,10.02
ORD100236,2023-01-03,P1020,S007,C0300,1,0.15,33.68,22.7,10.98
ORD100237,2024-09-14,P1028,S008,C0216,1,0.05,25.01,17.83,7.18
ORD100238,2023-12-29,P1023,S006,C0057,3,0.0,266.25,150.6,115.65
ORD100239,2024-05-22,P1026,S012,C0216,3,0.0,891.99,423.69,468.3
ORD100240,2023-10-01,P1023,S009,C0024,4,0.05,337.25,200.8,136.45
ORD100241,2024-05-20,P1016,S014,C0113,4,0.2,99.49,57.72,41.77
ORD100242,2023-01-15,P1005,S012,C0304,2,0.1,31.23,15.96,15.27
ORD100243,2023-07-11,P1019,S005,C0026,6,0.15,901.48,625.26,276.22
ORD100244,2024-09-22,P1022,S012,C0087,2,0.15,137.09,85.04,52.05
ORD100245,2024-04-29,P1026,S011,C0200,3,0.05,847.39,423.69,423.7
ORD100246,2023-01-28,P1002,S001,C0176,4,0.05,151.2,110.48,40.72
ORD100247,2024-12-14,P1020,S012,C0090,5,0.2,158.48,113.5,44.98
ORD100248,2023-02-08,P1005,S007,C0305,1,0.0,17.35,7.98,9.37
ORD100249,2023-09-30,P1003,S011,C0274,6,0.0,167.46,80.52,86.94
ORD100250,2023-08-19,P1021,S013,C0094,3,0.0,63.45,29.97,33.48
ORD100251,2023-03-27,P1001,S003,C0031,4,0.2,653.95,444.56,209.39
ORD100252,2024-04-18,P1009,S003,C0065,4,0.15,359.21,270.52,88.69
ORD100253,2023-05-06,P1014,S003,C0184,2,0.0,243.94,181.8,62.14
ORD100254,2024-06-20,P1011,S015,C0137,1,0.0,77.19,47.36,29.83
ORD100255,2023-05-25,P1016,S013,C0050,3,0.0,93.27,43.29,49.98
ORD100256,2024-06-08,P1012,S015,C0010,1,0.0,142.73,71.13,71.6
ORD100257,2023-07-31,P1023,S011,C0104,1,0.0,88.75,50.2,38.55
ORD100258,2023-01-25,P1016,S005,C0314,1,0.1,27.98,14.43,13.55
ORD100259,2024-08-02,P1009,S015,C0338,3,0.1,285.26,202.89,82.37
ORD100260,2024-01-29,P1009,S002,C0259,1,0.15,89.8,67.63,22.17
ORD100261,2023-03-08,P1009,S012,C0322,5,0.15,449.01,338.15,110.86
ORD100262,2023-08-21,P1024,S002,C0103,2,0.0,247.16,168.54,78.62
ORD100263,2023-04-19,P1018,S008,C0315,4,0.15,232.02,196.68,35.34
ORD100264,2023-05-26,P1026,S001,C0275,1,0.05,282.46,141.23,141.23
ORD100265,2023-04-21,P1018,S004,C0084,1,0.0,68.24,49.17,19.07
ORD100266,2023-08-16,P1008,S014,C0281,2,0.0,174.1,98.24,75.86
ORD100267,2023-04-21,P1010,S002,C0361,4,0.0,534.4,374.88,159.52
ORD100268,2024-04-14,P1029,S003,C0389,2,0.0,36.82,23.12,13.7
ORD100269,2023-02-03,P1013,S010,C0307,4,0.0,239.4,135.8,103.6
ORD100270,2024-09-14,P1002,S006,C0364,4,0.0,159.16,110.48,48.68
ORD100271,2024-01-04,P1016,S011,C0244,2,0.0,62.18,28.86,33.32
ORD100272,2024-08-17,P1027,S004,C0005,6,0.0,1171.68,550.2,621.48
ORD100273,2024-07-07,P1024,S006,C0279,2,0.0,247.16,168.54,78.62
ORD100274,2024-02-29,P1005,S002,C0387,3,0.0,52.05,23.94,28.11
ORD100275,2024-09-04,P1003,S010,C0051,4,0.1,100.48,53.68,46.8
ORD100276,2024-06-01,P1013,S008,C0233,2,0.0,119.7,67.9,51.8
ORD100277,2024-11-22,P1029,S004,C0376,4,0.1,66.28,46.24,20.04
ORD100278,2023-10-09,P1024,S002,C0258,3,0.15,315.13,252.81,62.32
ORD100279,2023-11-16,P1003,S012,C0018,8,0.0,223.28,107.36,115.92
ORD100280,2024-03-18,P1016,S008,C0189,4,0.0,124.36,57.72,66.64
ORD100281,2023-11-11,P1024,S001,C0010,5,0.05,587.0,421.35,165.65
ORD100282,2024-01-12,P1014,S004,C0097,5,0.05,579.36,454.5,124.86
ORD100283,2023-10-16,P1018,S013,C0107,3,0.05,194.48,147.51,46.97
ORD100284,2024-03-12,P1021,S001,C0125,4,0.15,71.91,39.96,31.95
ORD100285,2024-10-23,P1017,S012,C0089,6,0.0,1764.18,870.12,894.06
ORD100286,2023-10-04,P1011,S007,C0196,2,0.0,154.38,94.72,59.66
ORD100287,2024-12-10,P1004,S001,C0391,3,0.0,535.62,276.48,259.14
ORD100288,2024-08-04,P1018,S015,C0170,7,0.15,406.03,344.19,61.84
ORD100289,2024-05-17,P1008,S010,C0040,4,0.0,348.2,196.48,151.72
ORD100290,2024-09-15,P1027,S009,C0253,1,0.1,175.75,91.7,84.05
ORD100291,2024-05-30,P1002,S003,C0003,1,0.0,39.79,27.62,12.17
ORD100292,2023-12-16,P1009,S015,C0329,7,0.0,739.55,473.41,266.14
ORD100293,2024-03-21,P1010,S006,C0185,4,0.15,454.24,374.88,79.36
ORD100294,2023-12-16,P1005,S006,C0335,1,0.0,17.35,7.98,9.37
ORD100295,2024-08-29,P1015,S009,C0134,4,0.0,541.24,372.36,168.88
ORD100296,2024-10-25,P1020,S012,C0275,3,0.0,118.86,68.1,50.76
ORD100297,2023-05-17,P1012,S007,C0123,5,0.2,570.92,355.65,215.27
ORD100298,2023-08-31,P1000,S001,C0094,1,0.1,115.06,59.31,55.75
ORD100299,2024-06-26,P1027,S014,C0309,4,0.0,781.12,366.8,414.32
ORD100300,2023-02-09,P1019,S013,C0157,4,0.15,600.98,416.84,184.14
ORD100301,2023-08-17,P1029,S012,C0069,3,0.1,49.71,34.68,15.03
ORD100302,2024-07-01,P1018,S011,C0185,3,0.0,204.72,147.51,57.21
ORD100303,2023-08-11,P1003,S001,C0214,2,0.0,55.82,26.84,28.98
ORD100304,2023-01-06,P1022,S014,C0238,1,0.2,64.51,42.52,21.99
ORD100305,2023-11-18,P1009,S008,C0009,5,0.05,501.84,338.15,163.69
ORD100306,2024-04-12,P1026,S003,C0221,5,0.0,1486.65,706.15,780.5
ORD100307,2023-03-16,P1013,S006,C0320,1,0.05,56.86,33.95,22.91
ORD100308,2023-01-04,P1023,S014,C0382,4,0.0,355.0,200.8,154.2
ORD100309,2024-10-07,P1007,S010,C0183,4,0.05,174.61,125.44,49.17
ORD100310,2023-04-28,P1009,S005,C0164,4,0.05,401.47,270.52,130.95
ORD100311,2024-08-28,P1003,S005,C0278,3,0.05,79.54,40.26,39.28
ORD100312,2024-05-18,P1024,S001,C0215,1,0.0,123.58,84.27,39.31
ORD100313,2024-07-27,P1001,S014,C0047,6,0.15,1042.24,666.84,375.4
ORD100314,2024-03-16,P1027,S007,C0208,2,0.2,312.45,183.4,129.05
ORD100315,2023-07-13,P1029,S008,C0189,6,0.2,88.37,69.36,19.01
ORD100316,2024-12-15,P1001,S002,C0128,5,0.1,919.62,555.7,363.92
ORD100317,2024-01-27,P1028,S001,C0343,4,0.1,94.79,71.32,23.47
ORD100318,2023-01-26,P1021,S009,C0121,6,0.0,126.9,59.94,66.96
ORD100319,2024-03-10,P1016,S009,C0010,4,0.0,124.36,57.72,66.64
ORD100320,2023-06-22,P1026,S011,C0333,2,0.0,594.66,282.46,312.2
ORD100321,2023-10-27,P1021,S009,C0381,1,0.0,21.15,9.99,11.16
ORD100322,2024-10-06,P1018,S006,C0042,3,0.2,163.78,147.51,16.27
ORD100323,2023-11-22,P1006,S013,C0078,3,0.0,562.32,377.1,185.22
ORD100324,2024-02-14,P1019,S008,C0127,1,0.1,159.08,104.21,54.87
ORD100325,2023-04-28,P1014,S007,C0002,2,0.1,219.55,181.8,37.75
ORD100326,2024-12-24,P1023,S008,C0240,6,0.0,532.5,301.2,231.3
ORD100327,2023-08-13,P1027,S003,C0036,6,0.15,995.93,550.2,445.73
ORD100328,2024-06-15,P1021,S001,C0058,1,0.05,20.09,9.99,10.1
ORD100329,2023-04-23,P1000,S005,C0394,2,0.05,242.92,118.62,124.3
